TimeSlotID,Day,StartTime,EndTime,IsBreak,BatchYear
,Friday,02:30,02:40,Yes,3
,Monday,08:10,09:00,No,4
,Monday,09:00,09:50,No,4
,Monday,09:50,10:40,No,4
,Monday,11:00,11:50,No,4
,Monday,11:50,12:40,No,4
,Monday,01:40,02:30,No,4
,Monday,02:40,03:30,No,4
,Monday,10:40,11:00,Yes,4
,Monday,12:40,01:40,Yes,4
,Monday,02:30,02:40,Yes,4
,Tuesday,08:10,09:00,No,4
,Tuesday,09:00,09:50,No,4
,Tuesday,09:50,10:40,No,4
,Tuesday,11:00,11:50,No,4
,Tuesday,11:50,12:40,No,4
,Tuesday,01:40,02:30,No,4
,Tuesday,02:40,03:30,No,4
,Tuesday,10:40,11:00,Yes,4
,Tuesday,12:40,01:40,Yes,4
,Tuesday,02:30,02:40,Yes,4
,Wednesday,08:10,09:00,No,4
,Wednesday,09:00,09:50,No,4
,Wednesday,09:50,10:40,No,4
,Wednesday,11:00,11:50,No,4
,Wednesday,11:50,12:40,No,4
,Wednesday,01:40,02:30,No,4
,Wednesday,02:40,03:30,No,4
,Wednesday,10:40,11:00,Yes,4
,Wednesday,12:40,01:40,Yes,4
,Wednesday,02:30,02:40,Yes,4
,Thursday,08:10,09:00,No,4
,Thursday,09:00,09:50,No,4
,Thursday,09:50,10:40,No,4
,Thursday,11:00,11:50,No,4
,Thursday,11:50,12:40,No,4
,Thursday,01:40,02:30,No,4
,Thursday,02:40,03:30,No,4
,Thursday,10:40,11:00,Yes,4
,Thursday,12:40,01:40,Yes,4
,Thursday,02:30,02:40,Yes,4
,Friday,08:10,09:00,No,4
,Friday,09:00,09:50,No,4
,Friday,09:50,10:40,No,4
,Friday,11:00,11:50,No,4
,Friday,11:50,12:40,No,4
,Friday,01:40,02:30,No,4
,Friday,02:40,03:30,No,4
,Friday,10:40,11:00,Yes,4
,Friday,12:40,01:40,Yes,4
,Friday,02:30,02:40,Yes,4
